"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 26-Jun-2024","1W AGO 
 21-Jun-2024","1M AGO 
 28-May-2024","1Y AGO 
 28-Jun-2023","52W H 
","52W L 
","365 D % CHNG 
 28-Jun-2023","30 D % CHNG 
 28-May-2024"
"NIFTY CONSUMER DURABLES","38,364.65","0.29","38,300.05","38,559.65","38,250.90","-","38,254.35","38,239.30","38,161.90","35,511.45","27,024.50","38,727.40","14,089.55","41.55","7.72"
"NIFTY OIL & GAS","12,228.10","1.72","12,055.70","12,265.85","12,055.70","-","12,021.55","11,918.60","11,860.45","11,804.65","7,486.60","12,437.75","4,632.70","60.57","1.84"
"NIFTY MIDSMALL HEALTHCARE","35,609.75","0.93","35,172.35","35,752.35","35,170.25","-","35,280.40","35,208.25","35,663.30","34,244.60","-","36,164.30","20,019.15","-","3.02"
"NIFTY DIVIDEND OPPORTUNITIES 50","6,272.15","0.67","6,242.20","6,289.40","6,238.40","-","6,230.15","6,180.55","6,176.70","6,068.80","4,214.55","6,258.95","4,225.80","47.82","2.66"
"NIFTY GROWTH SECTORS 15","11,130.20","0.28","11,103.15","11,139.75","11,085.60","-","11,099.60","11,001.95","10,946.35","10,831.50","9,478.20","11,281.70","9,485.90","17.11","2.48"
"NIFTY100 QUALITY 30","5,652.25","0.31","5,646.85","5,664.65","5,640.90","-","5,634.85","5,617.55","5,588.55","5,462.25","4,257.85","-","-","32.34","3.16"
"NIFTY50 VALUE 20","13,105.60","0.34","13,088.05","13,142.70","13,058.35","-","13,061.80","12,921.35","12,790.40","12,540.45","9,716.00","13,086.00","9,743.10","34.44","4.16"
"NIFTY50 TR 2X LEVERAGE","20,236.70","0.55","20,196.65","20,341.60","20,160.25","-","20,126.95","19,836.85","19,249.95","18,358.50","13,291.85","20,196.55","12,898.20","51.42","9.63"
"NIFTY50 PR 2X LEVERAGE","13,988.20","0.52","13,960.55","14,060.70","13,935.35","-","13,915.20","13,715.80","13,310.00","12,764.60","9,416.25","13,963.30","9,059.10","47.78","9.01"
"NIFTY50 TR 1X INVERSE","168.45","-0.27","168.60","168.75","168.00","-","168.90","170.10","172.65","178.10","205.95","210.55","168.60","-17.99","-5.17"
"NIFTY50 PR 1X INVERSE","202.40","-0.25","202.60","202.80","201.85","-","202.90","204.40","207.40","213.40","244.50","250.95","202.55","-17.01","-4.92"
"NIFTY50 DIVIDEND POINTS","122.96","2.05","122.96","122.96","122.96","-","120.49","119.45","119.45","57.08","84.37","-","-","42.81","111.09"
"NIFTY ALPHA 50","56,276.45","0.56","56,265.20","56,679.85","56,204.05","-","55,961.55","55,822.80","56,197.90","53,066.60","30,947.20","-","-","80.83","5.46"
"NIFTY50 EQUAL WEIGHT","30,335.95","0.38","30,262.35","30,382.60","30,224.00","-","30,219.90","29,943.65","29,784.70","29,046.30","22,218.90","-","-","36.01","4.04"
"NIFTY100 EQUAL WEIGHT","32,651.35","0.33","32,611.00","32,734.65","32,590.50","-","32,543.50","32,361.80","32,276.15","31,326.45","22,008.15","-","-","47.87","3.89"
"NIFTY100 LOW VOLATILITY 30","19,112.40","0.42","19,078.65","19,164.75","19,059.10","-","19,032.95","18,877.00","18,679.50","18,238.05","14,389.35","-","-","32.27","4.36"
"NIFTY200 QUALITY 30","20,698.15","0.49","20,639.35","20,726.70","20,629.65","-","20,597.30","20,516.20","20,446.85","19,871.40","15,443.00","-","-","33.38","3.65"
"NIFTY ALPHA LOW-VOLATILITY 30","28,083.95","0.38","28,079.55","28,138.40","28,000.30","-","27,977.35","27,834.25","27,529.85","27,153.60","18,892.30","-","-","48.09","3.03"
"NIFTY200 MOMENTUM 30","35,314.35","0.26","35,396.15","35,481.35","35,236.05","-","35,223.20","35,264.05","35,453.90","34,737.55","21,199.40","-","-","66.15","1.40"
"NIFTY MIDCAP150 QUALITY 50","24,446.65","0.27","24,432.05","24,462.85","24,383.65","-","24,380.00","24,382.95","24,357.40","22,937.15","17,310.70","-","-","40.84","6.29"
"NIFTY200 ALPHA 30","27,308.20","0.24","27,375.45","27,469.40","27,272.50","-","27,244.00","27,148.15","27,259.45","26,062.10","-","-","-","-","4.53"
"NIFTY MIDCAP150 MOMENTUM 50","62,769.00","0.45","62,720.15","63,002.35","62,623.70","-","62,488.85","62,693.50","63,453.90","60,581.25","-","-","-","-","3.15"
"NIFTY COMMODITIES","9,272.55","0.71","9,225.55","9,302.90","9,219.45","-","9,207.00","9,085.55","9,125.25","9,028.80","6,020.15","9,390.65","6,021.30","52.94","1.97"
"NIFTY INDIA CONSUMPTION","11,161.65","0.20","11,179.75","11,196.05","11,139.50","-","11,139.55","11,091.30","11,030.95","10,664.70","8,247.40","11,290.10","8,141.50","35.07","4.45"
"NIFTY CPSE","6,832.10","1.17","6,784.50","6,879.60","6,776.95","-","6,753.05","6,701.55","6,708.40","6,602.35","3,206.20","7,105.55","3,222.15","110.62","2.28"
"NIFTY ENERGY","41,845.95","1.22","41,438.35","41,996.80","41,437.80","-","41,342.35","40,822.60","40,457.55","40,794.85","24,554.45","43,084.75","24,557.35","68.37","1.34"
"NIFTY INFRASTRUCTURE","9,141.30","0.38","9,155.05","9,176.75","9,102.30","-","9,106.90","9,015.30","8,885.70","8,775.20","5,698.65","9,166.25","5,699.70","59.81","3.78"
"NIFTY100 LIQUID 15","6,916.25","0.27","6,937.20","6,952.25","6,898.50","-","6,897.85","6,860.95","6,778.30","6,635.30","4,989.10","6,914.00","4,998.30","38.26","3.96"
"NIFTY MIDCAP LIQUID 15","12,804.65","0.65","12,714.80","12,822.05","12,695.85","-","12,722.00","12,673.80","12,639.15","11,831.00","8,360.85","12,815.25","8,372.00","52.16","7.53"
"NIFTY MNC","30,432.20","0.17","30,465.85","30,505.55","30,392.05","-","30,381.55","30,136.40","30,114.70","29,140.00","21,719.50","30,814.75","21,432.25","39.88","4.26"
"NIFTY PSE","10,718.20","0.97","10,661.30","10,789.20","10,652.25","-","10,615.30","10,543.15","10,605.05","10,653.85","5,024.20","11,353.35","5,039.85","111.28","-0.36"
"NIFTY SERVICES SECTOR","30,633.55","-0.08","30,752.95","30,789.75","30,625.80","-","30,658.90","30,413.30","29,881.75","28,624.45","24,596.35","30,723.10","23,940.65","24.65","7.11"
"NIFTY100 ESG SECTOR LEADERS","4,011.15","0.21","4,010.60","4,023.00","4,007.05","-","4,002.85","3,970.45","3,910.45","3,798.65","3,040.85","-","-","31.64","5.38"
"NIFTY INDIA DIGITAL","8,373.25","0.24","8,420.75","8,421.85","8,370.00","-","8,352.90","8,242.30","8,143.15","7,710.25","5,846.90","8,374.65","4,755.25","42.86","8.34"
"NIFTY100 ESG","4,762.30","0.19","4,762.50","4,773.75","4,756.85","-","4,753.20","4,716.80","4,673.15","4,506.80","3,574.90","-","-","32.96","5.47"
"NIFTY INDIA MANUFACTURING","14,634.55","0.29","14,614.45","14,664.20","14,605.00","-","14,591.70","14,512.25","14,528.85","13,886.00","9,106.45","-","-","60.23","5.08"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","16,842.75","0.87","16,702.10","16,866.85","16,699.40","-","16,697.90","16,561.25","16,617.75","16,192.15","-","16,957.15","9,887.45","-","3.12"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","15,015.10","0.52","14,951.35","15,034.90","14,951.35","-","14,937.80","14,899.85","14,848.00","14,159.65","-","15,043.60","8,394.35","-","5.50"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14,499.90","0.49","14,504.60","14,541.85","14,446.70","-","14,429.75","14,334.05","14,120.50","13,529.05","-","14,459.00","8,010.10","-","6.66"
"NIFTY 8-13 YR G-SEC","2,633.91","0.03","2,633.52","2,635.10","2,631.71","-","2,633.02","2,634.31","2,634.06","2,616.97","2,456.24","-","-","7.18","0.60"
"NIFTY 10 YR BENCHMARK G-SEC","2,332.93","0.01","2,332.96","2,334.29","2,331.10","-","2,332.51","2,333.85","2,334.22","2,301.74","2,177.91","-","-","7.08","1.32"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","878.28","-","878.29","878.80","877.58","-","878.30","878.98","879.98","878.83","879.91","-","-","-0.20","-0.08"
"NIFTY 4-8 YR G-SEC INDEX","2,852.24","0.01","2,852.23","2,852.60","2,852.01","-","2,851.68","2,851.66","2,850.60","2,833.39","2,658.82","-","-","7.24","0.63"
"NIFTY 11-15 YR G-SEC INDEX","2,919.54","0.02","2,919.28","2,920.32","2,917.67","-","2,918.72","2,918.83","2,919.10","2,894.47","2,689.67","-","-","8.49","0.82"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,244.23","0.01","3,244.36","3,245.52","3,241.05","-","3,243.73","3,243.99","3,248.46","3,196.96","2,920.68","-","-","11.04","1.44"
"NIFTY COMPOSITE G-SEC INDEX","2,731.75","0.02","2,731.61","2,732.67","2,729.92","-","2,731.09","2,731.70","2,732.12","2,708.69","2,529.30","-","-","7.97","0.82"
